url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB, html_bytes, html_request, js_bytes, js_request, css_bytes, css_request, image_bytes, image_request, flash_bytes, flash_request, fort_bytes, font_request, video_bytes, video_request, other_bytes, other_request
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc8Q_5NB,7337,14490,14490,26276,831716,524323,2889569,2308255,291,291,184,217,0,74,14490,14527,3613,4468,14443,84,0.0275035549,1835,1460,,,3613,14429,4,0,476,67665,31,1558351,85,95810,4,568439,91,0,0,434748,3,0,0,164556,77,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcWG_5N5,8538,14157,14157,25614,941636,568240,3341665,2337320,317,317,187,244,0,73,14157,14276,3964,4680,14102,95,0.0662837483,2154,1849,24229,24229,3964,14085,4,0,707,69131,32,1966921,95,139958,5,576173,99,0,0,434748,3,0,0,154734,83,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc4B_5NN,7999,13286,13286,25181,938474,584733,3299767,2346356,311,311,189,236,0,75,13286,13335,3653,4387,13245,90,0.0662837483,2023,1672,22474,22474,3645,13234,4,0,480,69132,31,1959680,92,147743,5,534106,97,0,0,434748,3,0,0,154358,83,
https://www.samsung.com/uk/smartphones/galaxy-s23/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcR7_5NM,5269,12087,12087,19427,726129,475527,2831839,2365892,276,276,183,196,1,79,12087,12129,4442,5051,12075,84,0.2257448082,2340,1265,18002,18002,4441,12073,7,0,445,399006,30,1529071,80,68886,8,345625,77,0,0,434748,3,0,0,54503,78,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcDM_5NT,7568,14258,14258,26354,811365,523234,2535529,2011458,280,280,181,204,0,76,14258,14277,3887,4715,14217,83,0.0275035549,2059,1755,,,3885,14204,4,0,587,67667,30,1555842,82,88025,4,252901,84,0,0,434748,3,0,0,136346,77,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDc0N_5NW,7486,14235,14235,25813,844103,535291,2835011,2253743,294,294,187,216,0,78,14235,14271,3485,4258,14176,88,0.0275035549,1862,1521,,,3485,14161,4,0,455,67669,31,1512838,85,88025,4,568271,91,0,0,434748,3,0,0,163460,80,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcKW_5P9,8202,13014,13014,25068,892442,517504,3015311,2010880,311,311,181,237,0,74,13014,13038,3688,4475,12975,93,0.0662837483,2000,1640,22624,22624,3688,12969,4,0,491,69130,32,1962056,95,147743,5,262333,93,0,0,434748,3,0,0,139301,83,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcJ4_5NX,6983,13192,13192,24433,825739,531034,2834420,2304259,284,284,184,210,0,74,13192,13230,3389,4112,13154,84,0.0275035549,1706,1388,,,3389,13146,4,0,441,67675,30,1554154,83,88025,4,526397,87,0,0,434748,3,0,0,163421,77,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcJ9_5PA,8715,13981,13981,25348,896865,523684,3019087,2011829,312,312,181,237,0,75,13981,14022,3968,4767,13928,93,0.0662837483,2043,1665,24092,24092,3967,13918,4,0,509,69136,32,1967054,95,147743,5,262350,94,0,0,434748,3,0,0,138056,83,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcSN_5NV,7126,13790,13790,25533,808126,516797,2837262,2306839,281,281,182,207,0,74,13790,13842,3573,4336,13747,87,0.0275035549,1846,1473,,,3573,13737,4,0,461,67665,30,1549462,82,95810,4,526380,85,0,0,434748,3,0,0,163197,77,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDc91_5NS,7938,14785,14785,26045,816021,509655,2842052,2311869,282,282,183,209,0,73,14785,14821,3764,4644,14745,87,0.0275035549,1917,1504,,,3764,14734,4,0,453,67673,30,1554176,82,95810,4,526380,85,0,0,434748,3,0,0,163265,78,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDc33_5P8,9296,15034,15034,27414,944005,570741,3339072,2334668,319,319,189,243,0,76,15034,15072,3662,4540,14995,92,0.0662837483,1786,1329,,,3662,14979,4,0,470,69090,32,1966889,95,139958,5,575938,101,0,0,434748,3,0,0,152449,83,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcKF_5P5,8195,13480,13480,24783,958444,588135,3342335,2337869,319,319,189,243,0,76,13480,13536,3528,4273,13432,94,0.0662837483,1830,1526,22772,22772,3527,13419,4,0,476,69129,32,1962128,95,147743,5,576190,101,0,0,434748,3,0,0,152397,83,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcHN_5NK,3292,7958,7958,11143,422389,294573,2174909,1669900,175,175,123,111,0,64,7958,8016,4126,4484,7945,52,0.2257448082,2209,1262,,,4126,7930,7,0,442,96652,16,1084568,36,68926,8,439869,63,0,0,434748,3,0,0,50146,49,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcQ0_5P4,8949,13832,13832,26066,942237,570605,3342161,2337818,318,318,188,243,0,75,13832,13869,3691,4478,13795,91,0.0662837483,1974,1606,23918,23918,3691,13787,4,0,441,69127,32,1961888,95,147743,5,576173,100,0,0,434748,3,0,0,152482,83,
