url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc1X_1FP,4746,17315,17315,24661,761017,492866,2129354,1942286,326,326,201,163,0,163,17315,17370,4244,4613,17296,69,0.0007593632,2718,1741,22877,22877,4241,17289,13,0,843,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcGQ_1G5,7536,23918,23918,34146,903808,526919,3475626,2921906,370,370,206,207,0,163,23918,23955,8681,9390,23849,78,0.0243759155,3039,2437,,,8377,23842,3,0,846,
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcMJ_1FG,5649,18108,18108,26293,862718,505285,2358049,1882971,358,358,206,193,0,165,18108,18154,4115,4450,18077,70,0.0290527344,2521,1787,,,4115,18075,13,0,843,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcSX_1G7,10716,23963,23963,34789,895092,507223,3478367,2924692,372,372,205,210,0,162,23963,24010,9036,9608,23886,79,0.0243759155,2714,2095,,,7879,23874,3,0,968,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcCF_1G4,10154,23688,23688,36229,903990,491429,3433949,2879984,372,372,197,209,0,163,23688,23725,8873,9422,23619,78,0.0243759155,2636,2001,33850,33850,7769,23605,3,0,852,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc0Q_1MQ,5835,22717,22717,30127,786707,504639,3171660,3000255,333,333,199,169,0,164,22717,22761,8582,9202,22649,72,0.0243759155,3111,2028,27841,27841,7905,22637,3,0,846,
https://www.samsung.com/uk/cs_ga3/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcWM_1F1,5444,18300,18300,27900,846474,500797,2386955,1755974,351,351,208,191,0,160,18300,18344,4112,4409,18270,69,0,2731,1944,,,4112,18258,13,0,911,
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc3G_1F4,6119,18003,18003,26849,867386,490922,2358267,1882799,358,358,195,193,0,165,18003,18038,4258,4615,17970,69,0.0290527344,2824,2043,,,4258,17954,13,0,1135,
https://www.samsung.com/uk/cs_ga3/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcM0_1FA,6150,18225,18225,28149,844531,468252,2387031,1755879,349,349,192,191,0,158,18225,18261,5484,5826,18197,70,0,2712,1735,26989,26989,5484,18183,13,0,845,
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc6T_1FH,6119,18435,18435,26594,875075,505940,2357940,1882696,358,358,201,193,0,165,18435,18488,4234,4496,18412,69,0.0290527344,2742,1782,,,4234,18395,13,0,855,
