url, result, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc1Q_5FH,20585,20585,30686,880343,531944,2604708,2147195,373,373,216,207,0,166,20585,20691,6368,6705,20553,81,0.0290527344,4481,4130,,,6366,20543,13,0,899,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcN4_5GD,19045,19045,32327,901807,435846,2722587,2154932,374,374,172,209,0,165,19045,19097,5673,6078,18992,77,0,4974,1983,31148,31148,5671,18981,13,0,844,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc92_5F0,18981,18981,32464,906940,465047,2678152,2047171,374,374,192,208,0,166,18981,19030,6835,7104,18945,76,0,6106,1841,,,6834,18944,13,0,924,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcKW_5FJ,18518,18518,33360,905983,423669,2716557,2148733,374,374,166,209,0,165,18518,18564,5809,6174,18467,79,0,4911,2400,32214,32214,5809,18452,13,0,848,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcR7_5G3,25535,25535,39127,1019665,534266,3874206,3257078,410,410,207,238,0,172,25535,25617,8942,9517,25456,92,0.0243759155,2987,2620,,,7351,25448,3,0,852,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc9G_5GC,19353,19353,32175,888241,485198,2721289,2155121,371,371,195,206,0,165,19353,19397,6333,6983,19306,81,0,5665,3315,,,6333,19294,13,0,871,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc2W_5G6,27226,27226,41601,1015297,578956,4063205,3450884,410,410,230,238,0,172,27226,27290,8939,9505,27142,92,0.0243759155,3164,2290,,,7657,27132,3,0,912,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc5D_5EY,23756,23756,37178,820321,436670,2650520,2419272,350,350,168,182,2,166,23756,23792,6543,6786,23716,74,0.0351104736,5838,2666,31279,31279,6541,23708,6,0,1125,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcA3_5FR,24421,24421,40168,820048,462089,2648510,2417292,350,350,180,181,2,167,24421,24465,6124,6433,24383,77,0.0351104736,5525,2574,32782,32782,6124,24361,6,0,844,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc68_5FP,19984,19984,30776,882954,512543,2597901,2140578,374,374,207,207,0,167,19984,20031,6245,6899,19952,81,0.0290527344,4744,4302,,,6245,19941,13,0,1110,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc7R_5GB,18738,18738,32190,895249,466215,2722708,2155152,374,374,187,209,0,165,18738,18786,5770,6076,18693,78,0,5738,2505,30534,30534,5770,18691,13,0,906,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc6M_5GZ,26071,26071,41411,974088,497301,4053630,3440768,403,403,199,232,0,171,26071,26149,8975,9518,26004,92,0.0243759155,3414,2554,39489,39489,7803,25992,3,0,1025,
